嗚呼,ああ,Ah!
口ずさむ,くちずさむ,to hum something
嘴,くちばし,beak
朽ちる,くちる,to rot
くっきり,くっきり,distinctly
屈折,くっせつ,bending
くっ付く,くっつく,to adhere to
くっ付ける,くっつける,to attach
覆す,くつがえす,to overturn
諄い,くどい,verbose
国境,くにざかい,national or state border
首飾り,くびかざり,necklace
首輪,くびわ,necklace
組み合わせ,くみあわせ,combination
組み合わせる,くみあわせる,to join together
組み込む,くみこむ,to insert
蔵,くら,warehouse
苦しめる,くるしめる,to torment
包む,くるむ,to be engulfed in
呉れ呉れも,くれぐれも,repeatedly
呉れる,くれる,to give
玄人,くろうと,expert
黒字,くろじ,balance 
君主,くんしゅ,ruler
愚痴,ぐち,idle complaint
ぐっと,ぐっと,firmly
ぐらい,ぐらい,approximately
群,ぐん,group 
軍艦,ぐんかん,warship
軍事,ぐんじ,military affairs
軍備,ぐんび,armaments
軍服,ぐんぷく,military or naval uniform
刑,けい,penalty
頃,けい,time
傾,けい,lean
系,けい,system
経過,けいか,passage
軽快,けいかい,rhythmical 
警戒,けいかい,warning
計器,けいき,meter
契機,けいき,opportunity
敬具,けいぐ,Sincerely yours
軽減,けいげん,abatement
掲載,けいさい,appearance 
傾斜,けいしゃ,inclination
形成,けいせい,formation
形勢,けいせい,condition
軽率,けいそつ,rash
携帯,けいたい,carrying something
形態,けいたい,form
刑罰,けいばつ,judgement
経費,けいひ,expenses
警部,けいぶ,police inspector
軽蔑,けいべつ,scorn
経歴,けいれき,personal history
経路,けいろ,course
汚す,けがす,to disgrace
汚らわしい,けがらわしい,filthy
汚れ,けがれ,uncleanness
汚れる,けがれる,to get dirty
獣,けだもの,beast
吝嗇,けち,stinginess
結核,けっかく,tuberculosis
血管,けっかん,blood vessel
決行,けっこう,doing 
決算,けっさん,balance sheet
決勝,けっしょう,decision of a contest
結晶,けっしょう,crystal
結成,けっせい,formation
結束,けっそく,union
傑,けつ,excellence
決意,けつい,decision
決議,けつぎ,resolution
結合,けつごう,combination
決断,けつだん,decision
欠乏,けつぼう,want
蹴飛ばす,けとばす,to kick away
貶す,けなす,to speak ill of
煙たい,けむたい,smoky
煙る,けむる,to smoke 
家来,けらい,retainer
けれど,けれど,but
圏,けん,sphere
権,けん,authority
権威,けんい,authority
兼業,けんぎょう,side line
権限,けんげん,power
健在,けんざい,in good health
懸賞,けんしょう,offering prizes
検事,けんじ,public prosecutor
健全,けんぜん,health
見地,けんち,point of view
賢明,けんめい,wisdom
倹約,けんやく,thrift
兼用,けんよう,multi-use
権力,けんりょく,power
劇団,げきだん,troupe
激励,げきれい,encouragement
月謝,げっしゃ,monthly tuition fee
げっそり,げっそり,being disheartened
月賦,げっぷ,monthly installment
下痢,げり,diarrhoea
原,げん,original
原形,げんけい,original form
現行,げんこう,present
原作,げんさく,original work
原子,げんし,atom
元首,げんしゅ,ruler
原書,げんしょ,original document
減少,げんしょう,decrease
現場,げんじょう,actual spot
元素,げんそ,chemical element
原則,げんそく,principle
現像,げんぞう,developing 
現地,げんち,actual place
限定,げんてい,limit
原点,げんてん,origin 
原典,げんてん,original 
減点,げんてん,subtract
原爆,げんばく,atomic bomb
原文,げんぶん,the text
厳密,げんみつ,strict
原油,げんゆ,crude oil
言論,げんろん,discussion
故,こ,the late 
戸,こ,counter for houses
児,こ,child
巨,こ,big
恋する,こいする,to fall in love with
溝,こう,10^38
校,こう,-school
好意,こうい,good will
行為,こうい,act
行員,こういん,bank clerk
交易,こうえき,trade
公演,こうえん,public performance
後悔,こうかい,regret
公開,こうかい,presenting to the public
航海,こうかい,sail
工学,こうがく,engineering
皇居,こうきょ,Imperial Palace
好況,こうきょう,prosperous conditions
抗議,こうぎ,protest
鉱業,こうぎょう,mining industry
興業,こうぎょう,industrial enterprise
高原,こうげん,tableland
煌々と,こうこうと,brilliantly
考古学,こうこがく,archaeology
交互,こうご,mutual
工作,こうさく,work
耕作,こうさく,cultivation
鉱山,こうざん,mine 
講習,こうしゅう,short course
交渉,こうしょう,negotiations
高尚,こうしょう,high
行進,こうしん,march
香辛料,こうしんりょう,spices
口述,こうじゅつ,verbal statement
控除,こうじょ,subsidy
向上,こうじょう,elevation
降水,こうすい,rainfall
洪水,こうずい,flood
公然,こうぜん,open 
抗争,こうそう,dispute
構想,こうそう,plan
拘束,こうそく,restriction
後退,こうたい,retreat
光沢,こうたく,brilliance
公団,こうだん,public corporation
好調,こうちょう,favourable
口頭,こうとう,oral
講読,こうどく,reading
購読,こうどく,subscription 
購入,こうにゅう,purchase
公認,こうにん,official recognition
光熱費,こうねつひ,cost of fuel and light
荒廃,こうはい,ruin
購買,こうばい,purchase
好評,こうひょう,popularity
交付,こうふ,delivering
降伏,こうふく,capitulation
興奮,こうふん,excitement
公募,こうぼ,public appeal
巧妙,こうみょう,ingenious
公用,こうよう,government business
小売,こうり,retail
効率,こうりつ,efficiency
公立,こうりつ,public 
小柄,こがら,short 
小切手,こぎって,cheque
国産,こくさん,domestic products
国定,こくてい,state-sponsored
国土,こくど,realm
告白,こくはく,confession
国防,こくぼう,national defence
国有,こくゆう,national ownership
国連,こくれん,U.N.
漕ぐ,こぐ,to row
焦げ茶,こげちゃ,black tea
個々,ここ,individual
箇箇,ここ,individual
心地,ここち,feeling
心得,こころえ,knowledge
心掛け,こころがけ,readiness
心掛ける,こころがける,to bear in mind
志,こころざし,will
志す,こころざす,to plan
心強い,こころづよい,heartening
心細い,こころぼそい,helpless
試み,こころみ,trial
試みる,こころみる,to try
快い,こころよい,pleasant
